Community,Full Name,Country,Long,Lat,ECO_ID_U,ECO_CODE,ECO_NAME,ECO_NUM,ECODE_NAME,CLS_CODE,ECO_NOTES,WWF_REALM,WWF_REALM2,WWF_MHTNUM,WWF_MHTNAM,RealmMHT,ER_UPDATE,ER_DATE_U,ER_RATION,SOURCEDATA
Mavinga ,Mavinga National Park,Angola,20.99,-15.55,10118,AT0701,Angolan Miombo Woodlands,1,AT0701. Angolan Miombo woodlands,0,,AT,Afrotropic,7,"Tropical and Subtropical Grasslands, Savannas and Shrublands",AT7,,,,"Olson, 2001"
Mbam et Djerem ,Mbam et Djerem National Park,Cameroon,12.77,5.85,10129,AT0712,Northern Congolian Forest-Savanna Mosaic,12,AT0712. Northern Congolian forest-savanna mosaic,0,,AT,Afrotropic,7,"Tropical and Subtropical Grasslands, Savannas and Shrublands",AT7,,,,"Olson, 2001"
Meru ,Meru National Park,Kenya,38.2,0.1,10128,AT0711,Northern Acacia-Commiphora Bushlands And Thickets,11,AT0711. Northern Acacia-Commiphora bushlands and thickets,0,,AT,Afrotropic,7,"Tropical and Subtropical Grasslands, Savannas and Shrublands",AT7,,,,"Olson, 2001"
Mikumi ,Mikumi National Park,Tanzania,37.22,-7.44,10123,AT0706,Eastern Miombo Woodlands,6,AT0706. Eastern Miombo woodlands,0,,AT,Afrotropic,7,"Tropical and Subtropical Grasslands, Savannas and Shrublands",AT7,,,,"Olson, 2001"
Mocamedes ,Mocamedes Partial Reserve,Angola,12.42,-15.64,10181,AT1310,Kaokoveld Desert,10,AT1310. Kaokoveld desert,0,,AT,Afrotropic,13,Deserts and Xeric Shrublands,AT13,,,,"Olson, 2001"
Mont Fouari ,Mont Fouari Faunal Reserve,Congo,11.61,-2.8,10086,AT0102,Atlantic Equatorial Coastal Forests,2,AT0102. Atlantic Equatorial coastal forests,0,,AT,Afrotropic,1,Tropical and Subtropical Moist Broadleaf Forests,AT1,,,,"Olson, 2001"
Mount Assirik,Mount Assirik,Senegal,-13.03,13.01,10139,AT0722,West Sudanian Savanna,22,AT0722. West Sudanian savanna,0,,AT,Afrotropic,7,"Tropical and Subtropical Grasslands, Savannas and Shrublands",AT7,,,,"Olson, 2001"
Mount Elgon ,Mount Elgon National Park,Kenya,34.51,1.19,10159,AT1005,East African Montane Moorlands,5,AT1005. East African montane moorlands,0,,AT,Afrotropic,10,Montane Grasslands and Shrublands,AT10,,,,"Olson, 2001"
Mount Kenya ,Mount Kenya National Park,Kenya,37.34,-0.12,10159,AT1005,East African Montane Moorlands,5,AT1005. East African montane moorlands,0,,AT,Afrotropic,10,Montane Grasslands and Shrublands,AT10,,,,"Olson, 2001"
Mount Nimba Strict ,Mount Nimba Strict Nature Reserve,Guinea,-8.41,7.65,10098,AT0114,Guinean Montane Forests,14,AT0114. Guinean montane forests,0,,AT,Afrotropic,1,Tropical and Subtropical Moist Broadleaf Forests,AT1,,,,"Olson, 2001"
Mudumu ,Mudumu National Park,Namibia,23.57,-18.08,10143,AT0726,Zambezian Baikiaea Woodlands,26,AT0726. Zambezian Baikiaea woodlands,0,,AT,Afrotropic,7,"Tropical and Subtropical Grasslands, Savannas and Shrublands",AT7,,,,"Olson, 2001"
Mupa ,Mupa National Park,Angola,15.54,-15.96,10143,AT0726,Zambezian Baikiaea Woodlands,26,AT0726. Zambezian Baikiaea woodlands,0,,AT,Afrotropic,7,"Tropical and Subtropical Grasslands, Savannas and Shrublands",AT7,,,,"Olson, 2001"
Murchison Falls ,Murchison Falls National Park,Uganda,31.8,2.26,10138,AT0721,Victoria Basin Forest-Savanna Mosaic,21,AT0721. Victoria Basin forest-savanna mosaic,0,,AT,Afrotropic,7,"Tropical and Subtropical Grasslands, Savannas and Shrublands",AT7,,,,"Olson, 2001"
Mushandike,Mushandike Sanctuary,Zimbabwe,30.64,-20.11,10136,AT0719,Southern Miombo Woodlands,19,AT0719. Southern Miombo woodlands,0,,AT,Afrotropic,7,"Tropical and Subtropical Grasslands, Savannas and Shrublands",AT7,,,,"Olson, 2001"
Mwabvi ,Mwabvi Wildlife Reserve,Malawi,35.02,-16.71,10142,AT0725,Zambezian And Mopane Woodlands,25,AT0725. Zambezian and Mopane woodlands,0,,AT,Afrotropic,7,"Tropical and Subtropical Grasslands, Savannas and Shrublands",AT7,,,,"Olson, 2001"
Mweru Wantipa ,Mweru Wantipa National Park,Zambia,29.42,-8.65,10121,AT0704,Central Zambezian Miombo Woodlands,4,AT0704. Central Zambezian Miombo woodlands,0,,AT,Afrotropic,7,"Tropical and Subtropical Grasslands, Savannas and Shrublands",AT7,,,,"Olson, 2001"
Nairobi ,Nairobi National Park,Kenya,36.86,-1.38,10128,AT0711,Northern Acacia-Commiphora Bushlands And Thickets,11,AT0711. Northern Acacia-Commiphora bushlands and thickets,0,,AT,Afrotropic,7,"Tropical and Subtropical Grasslands, Savannas and Shrublands",AT7,,,,"Olson, 2001"
Namaqua,Namaqua National Park,South Africa,17.57,-30.02,10192,AT1322,Succulent Karoo,22,AT1322. Succulent Karoo,0,,AT,Afrotropic,13,Deserts and Xeric Shrublands,AT13,,,,"Olson, 2001"
Namib Naukluft ,Namib Naukluft National Park,Namibia,15.33,-24.55,10186,AT1315,Namib Desert,15,AT1315. Namib desert,0,,AT,Afrotropic,13,Deserts and Xeric Shrublands,AT13,,,,"Olson, 2001"
Natal ,Natal National Park,South Africa,28.93,-28.7,10158,AT1004,"Drakensberg Montane Grasslands, Woodlands And Forests",4,"AT1004. Drakensberg montane grasslands, woodlands and forests",0,,AT,Afrotropic,10,Montane Grasslands and Shrublands,AT10,,,,"Olson, 2001"
Ngorongoro,Ngorongoro Conservation Area,Tanzania,35.38,-3.05,10133,AT0716,Southern Acacia-Commiphora Bushlands And Thickets,16,AT0716. Southern Acacia-Commiphora bushlands and thickets,0,,AT,Afrotropic,7,"Tropical and Subtropical Grasslands, Savannas and Shrublands",AT7,,,,"Olson, 2001"
Ngotto Forest,Ngotto Forest,Central African Republic,17.24,3.88,10110,AT0126,Northwestern Congolian Lowland Forests,26,AT0126. Northwestern Congolian lowland forests,0,,AT,Afrotropic,1,Tropical and Subtropical Moist Broadleaf Forests,AT1,,,,"Olson, 2001"
Niassa ,Niassa Game Reserve,Mozambique,37.35,-12.01,10123,AT0706,Eastern Miombo Woodlands,6,AT0706. Eastern Miombo woodlands,0,,AT,Afrotropic,7,"Tropical and Subtropical Grasslands, Savannas and Shrublands",AT7,,,,"Olson, 2001"
Nkasa Rupara ,Nkasa Rupara National Park,Namibia,23.66,-18.39,10153,AT0907,Zambezian Flooded Grasslands,7,AT0907. Zambezian flooded grasslands,0,,AT,Afrotropic,9,Flooded Grasslands and Savannas,AT9,,,,"Olson, 2001"
Nkhotakota ,Nkhotakota Wildlife Reserve,Malawi,34.03,-12.87,10121,AT0704,Central Zambezian Miombo Woodlands,4,AT0704. Central Zambezian Miombo woodlands,0,,AT,Afrotropic,7,"Tropical and Subtropical Grasslands, Savannas and Shrublands",AT7,,,,"Olson, 2001"
Nouabale Ndoki ,Nouabale Ndoki National Park,Congo,16.6,2.5,10110,AT0126,Northwestern Congolian Lowland Forests,26,AT0126. Northwestern Congolian lowland forests,0,,AT,Afrotropic,1,Tropical and Subtropical Moist Broadleaf Forests,AT1,,,,"Olson, 2001"
Nyanga Nord ,Nyanga Nord Faunal Reserve,Congo,11.83,-2.96,10140,AT0723,Western Congolian Forest-Savanna Mosaic,23,AT0723. Western Congolian forest-savanna mosaic,0,,AT,Afrotropic,7,"Tropical and Subtropical Grasslands, Savannas and Shrublands",AT7,,,,"Olson, 2001"
Nyika ,Nyika National Park,Malawi,33.85,-10.57,10169,AT1015,Southern Rift Montane Forest-Grassland Mosaic,15,AT1015. Southern Rift montane forest-grassland mosaic,0,,AT,Afrotropic,10,Montane Grasslands and Shrublands,AT10,,,,"Olson, 2001"
Nyungwe ,Nyungwe National Park,Rwanda,29.29,-2.53,10085,AT0101,Albertine Rift Montane Forests,1,AT0101. Albertine Rift montane forests,0,,AT,Afrotropic,1,Tropical and Subtropical Moist Broadleaf Forests,AT1,,,,"Olson, 2001"
Odzala Kokoua ,Odzala Kokoua National Park,Congo,14.92,0.98,10110,AT0126,Northwestern Congolian Lowland Forests,26,AT0126. Northwestern Congolian lowland forests,0,,AT,Afrotropic,1,Tropical and Subtropical Moist Broadleaf Forests,AT1,,,,"Olson, 2001"
Okavango Delta,Okavango Delta World Heritage Site,Botswana,23.04,-19.23,10153,AT0907,Zambezian Flooded Grasslands,7,AT0907. Zambezian flooded grasslands,0,,AT,Afrotropic,9,Flooded Grasslands and Savannas,AT9,,,,"Olson, 2001"
Omo ,Omo National Park,Ethiopia,35.76,5.92,10132,AT0715,Somali Acacia-Commiphora Bushlands And Thickets,15,AT0715. Somali Acacia-Commiphora bushlands and thickets,0,,AT,Afrotropic,7,"Tropical and Subtropical Grasslands, Savannas and Shrublands",AT7,,,,"Olson, 2001"
Ouadi Rime Ouadi Achim ,Ouadi Rime Ouadi Achim Faunal Reserve,Chad,19.25,15.52,10130,AT0713,Sahelian Acacia Savanna,13,AT0713. Sahelian Acacia savanna,0,,AT,Afrotropic,7,"Tropical and Subtropical Grasslands, Savannas and Shrublands",AT7,,,,"Olson, 2001"
Pama ,Pama Faunal Reserve,Burkina Faso,0.77,11.44,10139,AT0722,West Sudanian Savanna,22,AT0722. West Sudanian savanna,0,,AT,Afrotropic,7,"Tropical and Subtropical Grasslands, Savannas and Shrublands",AT7,,,,"Olson, 2001"
